#ServerReceiveDate,msec,HsSendDate,msec,ProtorolVer,Sn,Lat,Lon,G_amp,Seq,P_Shindo,P_Gal,S_ShindoEst,S_ShindoEst,S_Shindo,S_Gal,P_sn,P_co_p,TrigStartDate,msec,Uncertainty,isEq,Bcast,IsEew,Param,MdPort,MdEn,MdAct,Sp
9/8/17 4:50,517,4:50:05,495,2,1604397,15.7734,-96.0966,1.22,11,1.85,2.85,2.85,8.56,3.03,11.1,110,1094,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,22,4:50:05,993,2,1604393,16.2014,-95.1953,1.22,12,1.86,2.91,2.86,8.73,4,33.96,123,1847,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,255,4:50:06,226,2,1604396,16.20459,-95.2071,1.22,11,1.84,2.82,2.84,8.46,4.09,37.59,131,1848,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,565,4:50:07,502,2,1604482,14.9074,-92.2622,1.22,13,1.13,1.25,2.13,3.74,1.92,3.12,57,1719,9/8/17 4:49,144,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,314,4:50:08,295,2,1604397,15.7734,-96.0966,1.22,12,1.88,2.95,2.88,8.85,3.46,18.3,110,1374,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,721,4:50:10,693,2,1604393,16.2014,-95.1953,1.22,13,2.33,5,3.33,15.01,4.77,82.56,123,2317,9/8/17 4:49,502,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,959,4:50:10,928,2,1604396,16.20459,-95.2071,1.22,12,2.09,3.77,3.09,11.31,4.52,62.22,131,2318,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,881,4:50:11,804,2,1604482,14.9074,-92.2622,1.22,14,1.15,1.29,2.15,3.86,2.64,7.08,57,2149,9/8/17 4:49,144,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,493,13:50:14,448,2,1604055,15.8579,-97.0587,1.22,1,0.69,0.75,1.69,2.26,0.6,0.68,31,61,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,767,13:50:14,735,2,1604055,15.8579,-97.0587,1.22,2,0.73,0.79,1.73,2.37,0.69,0.75,28,91,9/8/17 13:50,808,0,2400,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,69,13:50:15,35,2,1604055,15.8579,-97.0587,1.22,3,1.04,1.13,2.04,3.39,1.04,1.13,31,121,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,368,13:50:15,335,2,1604055,15.8579,-97.0587,1.22,4,1.19,1.34,2.19,4.02,1.16,1.3,34,151,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,771,13:50:15,736,2,1604055,15.8579,-97.0587,1.22,5,1.27,1.47,2.27,4.4,1.27,1.47,35,191,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,118,4:50:16,96,2,1604397,15.7734,-96.0966,1.22,14,1.82,2.77,2.82,8.3,4.35,51.19,110,2154,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,144,13:50:16,114,2,1604054,17.07889,-96.7072,1.22,1,0.55,0.64,1.55,1.92,0.55,0.64,34,152,9/8/17 13:50,566,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,269,13:50:16,234,2,1604055,15.8579,-97.0587,1.22,6,1.31,1.55,2.31,4.64,1.29,1.51,35,241,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,759,4:50:16,730,2,1604396,16.20459,-95.2071,1.22,13,2.31,4.86,3.31,14.57,5.47,184.65,131,2898,9/8/17 4:49,737,0,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,866,13:50:16,835,2,1604055,15.8579,-97.0587,1.22,7,1.45,1.81,2.45,5.43,1.42,1.76,38,301,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,25,13:50:16,998,2,1604054,17.07889,-96.7072,1.22,3,0.67,0.74,1.67,2.21,0.64,0.71,35,242,9/8/17 13:50,566,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,388,4:50:17,203,2,1604482,14.9074,-92.2622,1.22,15,1.17,1.31,2.17,3.94,3.23,14.02,57,2689,9/8/17 4:49,144,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,671,13:50:17,635,2,1604055,15.8579,-97.0587,1.22,8,1.55,2.02,2.55,6.07,1.55,2.02,42,381,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,423,13:50:18,397,2,1604054,17.07889,-96.7072,1.22,5,0.93,0.99,1.93,2.97,0.93,0.99,40,382,9/8/17 13:50,566,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,675,13:50:18,635,2,1604055,15.8579,-97.0587,1.22,9,1.58,2.09,2.58,6.28,1.63,2.23,46,481,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,421,13:50:19,397,2,1604054,17.07889,-96.7072,1.22,6,0.94,1.01,1.94,3.03,1.11,1.22,45,482,9/8/17 13:50,566,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,445,13:50:19,405,2,1604063,17.0966,-96.7186,1.22,1,0.82,0.88,1.82,2.63,0.72,0.78,45,71,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,727,13:50:19,690,2,1604063,17.0966,-96.7186,1.22,2,0.84,0.89,1.84,2.67,0.84,0.89,45,101,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,870,13:50:19,836,2,1604055,15.8579,-97.0587,1.22,10,1.57,2.09,2.57,6.26,1.78,2.65,46,601,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,26,13:50:19,992,2,1604063,17.0966,-96.7186,1.22,3,0.9,0.96,1.9,2.87,0.9,0.96,46,131,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,424,13:50:20,390,2,1604063,17.0966,-96.7186,1.22,4,0.98,1.06,1.98,3.17,0.98,1.06,47,171,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,619,13:50:20,597,2,1604054,17.07889,-96.7072,1.22,7,0.92,0.98,1.92,2.95,1.33,1.58,46,602,9/8/17 13:50,566,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,924,13:50:20,891,2,1604063,17.0966,-96.7186,1.22,5,1.06,1.15,2.06,3.46,1.04,1.12,47,221,9/8/17 13:50,663,0,2450,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,367,13:50:21,336,2,1604055,15.8579,-97.0587,1.22,11,1.57,2.09,2.57,6.26,1.9,3.05,46,751,9/8/17 13:50,808,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,520,4:50:21,497,2,1604397,15.7734,-96.0966,1.22,15,2.21,4.34,3.21,13.03,4.72,78.2,110,2694,9/8/17 4:49,540,2500,2500,OFF,OFF,,10505,ON,ON,ON
9/8/17 4:50,523,13:50:21,489,2,1604063,17.0966,-96.7186,1.22,6,1.09,1.19,2.09,3.58,1.09,1.19,48,281,9/8/17 13:50,663,0,2450,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,119,13:50:22,99,2,1604054,17.07889,-96.7072,1.22,8,0.93,0.99,1.93,2.96,1.41,1.73,46,752,9/8/17 13:50,566,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,224,13:50:22,190,2,1604063,17.0966,-96.7186,1.22,7,1.24,1.41,2.24,4.24,1.21,1.37,50,351,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,125,13:50:23,90,2,1604063,17.0966,-96.7186,1.22,8,1.31,1.55,2.31,4.64,1.41,1.73,55,441,9/8/17 13:50,663,0,2500,OFF,OFF,,10505,ON,OFF,OFF
9/8/17 4:50,24,13:50:23,997,2,1604054,17.07889,-96.7072,1.22,9,0.95,1.02,1.95,3.05,1.69,2.37,46,942,9/8/17 13:50,566,0,2500,OFF,OFF,,10505,ON,OFF,OFF
